 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_number__________________________________________________ (procver)_____________________     "2.3.0   R"
 Date_of_run_____________________________________________________________ (date)________________________     "25/07/2023"
 Time_of_run_____________________________________________________________ (time)________________________     "16:06"
 User____________________________________________________________________ (username)____________________     "james"
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "Run Title (change this line using input variable 'runtitle')
 PROCESS_tag_number______________________________________________________ (tagno)_______________________     "v2.3.0-hotfix"
 PROCESS_git_branch_name_________________________________________________ (branch_name)_________________     "HEAD"
 PROCESS_last_commit_message_____________________________________________ (commsg)______________________     "Move\ ford\ repository\ to\ new\ URL"
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/james/Documents/BLUEPRINT/bm2/eudemo/config/IN.DAT                                                                                                                                                "
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             40
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             24
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              1
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals___________ (sqsumsq)_____________________      3.1670E-09 OP
 VMCON_convergence_parameter_____________________________________________ (convergence_parameter)_______      2.4457E-10 OP
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________             48 OP
 bt______________________________________________________________________ (itvar001)____________________      5.2466E+00
 bt_(final_value/initial_value)__________________________________________ (xcm001)______________________      9.8449E-01
 bt_(range_normalised)___________________________________________________ (nitvar001)___________________      2.6196E-01
 rmajor__________________________________________________________________ (itvar002)____________________      9.2095E+00
 rmajor_(final_value/initial_value)______________________________________ (xcm002)______________________      1.0359E+00
 rmajor_(range_normalised)_______________________________________________ (nitvar002)___________________      7.0616E-01
 te______________________________________________________________________ (itvar003)____________________      1.2263E+01
 te_(final_value/initial_value)__________________________________________ (xcm003)______________________      9.9457E-01
 te_(range_normalised)___________________________________________________ (nitvar003)___________________      4.6767E-02
 beta____________________________________________________________________ (itvar004)____________________      3.0662E-02
 beta_(final_value/initial_value)________________________________________ (xcm004)______________________      9.7586E-01
 beta_(range_normalised)_________________________________________________ (nitvar004)___________________      2.9692E-02
 dene____________________________________________________________________ (itvar005)____________________      7.0631E+19
 dene_(final_value/initial_value)________________________________________ (xcm005)______________________      9.5035E-01
 dene_(range_normalised)_________________________________________________ (nitvar005)___________________      6.1243E-02
 fdene___________________________________________________________________ (itvar006)____________________      1.2000E+00
 fdene_(final_value/initial_value)_______________________________________ (xcm006)______________________      1.0000E+00
 fdene_(range_normalised)________________________________________________ (nitvar006)___________________      1.0000E+00
 tfcth___________________________________________________________________ (itvar007)____________________      1.1177E+00
 tfcth_(final_value/initial_value)_______________________________________ (xcm007)______________________      9.2529E-01
 tfcth_(range_normalised)________________________________________________ (nitvar007)___________________      2.0770E-01
 fwalld__________________________________________________________________ (itvar008)____________________      1.2222E-01
 fwalld_(final_value/initial_value)______________________________________ (xcm008)______________________      9.3297E-01
 fwalld_(range_normalised)_______________________________________________ (nitvar008)___________________      1.2134E-01
 ohcth___________________________________________________________________ (itvar009)____________________      7.9994E-01
 ohcth_(final_value/initial_value)_______________________________________ (xcm009)______________________      1.4481E+00
 ohcth_(range_normalised)________________________________________________ (nitvar009)___________________      7.9073E-02
 q_______________________________________________________________________ (itvar010)____________________      3.5000E+00
 q_(final_value/initial_value)___________________________________________ (xcm010)______________________      1.0000E+00
 q_(range_normalised)____________________________________________________ (nitvar010)___________________      0.0000E+00
 bore____________________________________________________________________ (itvar011)____________________      2.4334E+00
 bore_(final_value/initial_value)________________________________________ (xcm011)______________________      1.0434E+00
 bore_(range_normalised)_________________________________________________ (nitvar011)___________________      2.3570E-01
 fbetatry________________________________________________________________ (itvar012)____________________      4.7079E-01
 fbetatry_(final_value/initial_value)____________________________________ (xcm012)______________________      9.7571E-01
 fbetatry_(range_normalised)_____________________________________________ (nitvar012)___________________      4.7026E-01
 coheof__________________________________________________________________ (itvar013)____________________      1.0206E+07
